0.872549;2
0.872549;1.95
0.872549;1.9
0.872549;1.85
0.872549;1.8
0.872549;1.75
0.872549;1.7
0.872549;1.65
0.872549;1.6
0.872549;1.55
0.872549;1.5
0.852941;1.45
0.862745;1.4
0.794118;1.35
0.745098;1.3
0.696078;1.25
0.647059;1.2
0.607843;1.15
0.598039;1.1
0.578431;1.05
0.568627;1
0.558824;0.95
0.558824;0.9
0.558824;0.85
0.558824;0.8
0.558824;0.75
0.54902;0.7
0.539216;0.65
0.470588;0.6
0.431373;0.55
0.382353;0.5
0.382353;0.45
0.382353;0.4
0.303922;0.35
0.0294118;0.3
0;0.25
0;0.2
0;0.15
0;0.1
0;0.05
